date,s_snow,s_water,et_bucket,m_bucket,ps_bucket,pr_bucket,prcp(mm/day),dayl(s),tmean(c),tmin(c),tmax(c),srad(w/m2),vp(pa),q_bucket,obs_runoff(mm/day)
1980-10-01,0.0,1070.1605272751772,1.2681247885703995,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.520002,18.885,9.0,28.77,376.17,1103.76,2.113196081966873e-06,0.00049957645
1980-10-02,0.0,1069.0836054775934,0.9548539226525932,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.424003,14.33,5.66,23.0,354.86,915.76,2.0815854964364367e-06,0.000790996
1980-10-03,0.0,1068.251874587105,0.7738829373975041,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.424003,10.965,-0.53,22.46,411.13,566.0,2.0574959213873614e-06,0.0009575215
1980-10-04,0.0,1067.404443261614,0.9438939490565087,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.328006,14.305,2.36,26.25,408.89,679.39,2.0332383157888876e-06,0.000790996
1980-10-05,0.0,1066.419806558102,1.0246357264273431,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.328006,15.665,5.04,26.29,382.42,841.4,2.0054121952112167e-06,0.0009575215
1980-10-06,0.0,1065.3248052201525,1.0984312012144635,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.232005,16.975,5.92,28.03,383.15,883.67,1.974914145147238e-06,0.00066610187
1980-10-07,0.0,1064.1532255964835,1.1469260661191627,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.232005,17.715,5.93,29.5,387.68,877.74,1.942796647940226e-06,0.0009575215
1980-10-08,0.0,1062.9388540358125,1.2662767531533887,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.135997,19.55,7.04,32.06,387.84,937.02,1.9100572329259442e-06,0.0013322037
1980-10-09,0.0,1061.715476886857,1.2324528046280527,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.135997,19.11,6.5,31.72,386.14,913.01,1.8776328711522918e-06,0.0009575215
1980-10-10,0.0,1060.566078514247,1.122316374749825,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.10417,17.6,6.22,28.98,367.15,922.78,1.8476709160449413e-06,0.0013322037
1980-10-11,0.0,1059.6473541165954,0.7545753835396615,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.039991,11.235,1.14,21.33,352.5,651.86,1.8240662373921206e-06,0.0013322037
1980-10-12,0.0,1058.9312447165278,0.7564418078106139,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.039991,11.285,1.19,21.38,348.84,655.29,1.805876653102385e-06,0.0013322037
