date,y_obs,y_sim
1980-10-01,0.058155823,0.27543163
1980-10-02,0.061386697,0.27312043
1980-10-03,0.08884915,0.36531773
1980-10-04,0.10500356,0.43277544
1980-10-05,0.09692637,0.32776868
1980-10-06,0.08884915,0.3193636
1980-10-07,0.080771975,0.31482372
1980-10-08,0.07431021,0.31205624
1980-10-09,0.07107934,0.3224937
1980-10-10,0.06784847,0.28767237
1980-10-11,0.07834882,0.43546066
1980-10-12,0.07431021,0.3410901
1980-10-13,0.07431021,0.33906406
1980-10-14,0.07107934,0.31430775
1980-10-15,0.07107934,0.314405
1980-10-16,0.07107934,0.31497642
1980-10-17,0.07107934,0.35046577
1980-10-18,0.07431021,0.3895834
1980-10-19,0.08884915,0.46704292
1980-10-20,0.07834882,0.34796473
1980-10-21,0.07431021,0.32602364
1980-10-22,0.07107934,0.31637773
1980-10-23,0.07431021,0.30267948
1980-10-24,0.07107934,0.28006408
1980-10-25,0.3150107,0.57517815
1980-10-26,1.4296638,2.4462283
1980-10-27,0.86426,1.9486308
1980-10-28,0.613867,1.986533
1980-10-29,0.46040022,1.7916975
1980-10-30,0.36347383,1.663265
1980-10-31,0.32308787,1.5769044
1980-11-01,0.2827019,1.5018142
1980-11-02,0.25039312,1.418484
1980-11-03,0.23423871,1.2916378
1980-11-04,0.2261615,1.2922591
1980-11-05,0.2261615,1.2596017
1980-11-06,0.2261615,1.1397129
1980-11-07,0.21000713,1.1293194
1980-11-08,0.20192993,1.2604706
1980-11-09,0.21808432,1.0584166
1980-11-10,0.25847027,1.5371199
1980-11-11,0.25847027,1.1865005
1980-11-12,0.23423871,1.0523723
1980-11-13,0.21000713,1.1930505
1980-11-14,0.20192993,1.1795937
1980-11-15,0.20192993,1.1203828
1980-11-16,0.21000713,0.99633586
1980-11-17,0.20192993,0.74967915
1980-11-18,0.2827019,1.7256533
1980-11-19,0.33924228,2.7046707
1980-11-20,0.2827019,2.475358
1980-11-21,0.2746247,2.2809305
1980-11-22,0.2827019,2.3933587
1980-11-23,0.3069335,2.15753
1980-11-24,0.65425295,2.7188318
1980-11-25,1.8335238,4.5792637
1980-11-26,1.4135095,3.5283797
1980-11-27,0.8884917,3.1249409
1980-11-28,0.64617574,3.2983239
1980-11-29,0.613867,3.7231126
1980-11-30,0.5815581,3.2612247
1980-12-01,0.5492494,3.0197656
1980-12-02,0.533095,2.784343
1980-12-03,0.50078624,2.765233
1980-12-04,0.46847746,1.6699098
1980-12-05,0.7269477,1.637771
1980-12-06,0.613867,1.7396177
1980-12-07,0.5169406,2.0769851
1980-12-08,0.43616864,2.038517
1980-12-09,0.39578268,1.8568493
1980-12-10,0.42001423,1.9109968
1980-12-11,0.42001423,1.3783149
1980-12-12,0.40385985,1.1980776
1980-12-13,0.3796283,1.5315529
1980-12-14,0.34731948,1.1966336
1980-12-15,0.5169406,1.0042642
1980-12-16,0.5654038,1.2578402
1980-12-17,0.48463184,1.076934
1980-12-18,0.45232308,0.8615698
1980-12-19,0.40385985,0.9760976
1980-12-20,0.38770548,0.77681315
1980-12-21,0.48463184,0.7513257
1980-12-22,0.5654038,0.7272306
1980-12-23,0.69463897,0.7779001
1980-12-24,0.40385985,0.83236474
1980-12-25,0.43616864,0.747561
1980-12-26,0.46847746,0.61377084
1980-12-27,0.46847746,0.6566877
1980-12-28,0.45232308,0.70828116
1980-12-29,0.43616864,0.9491552
1980-12-30,0.42001423,0.93720883
1980-12-31,0.39578268,0.90260893
1981-01-01,0.38770548,0.6064449
1981-01-02,0.40385985,0.6691036
1981-01-03,0.42001423,0.580076
1981-01-04,0.39578268,0.54303586
1981-01-05,0.37155104,0.54981333
1981-01-06,0.36347383,0.5399811
1981-01-07,0.38770548,0.76104254
1981-01-08,0.3796283,0.5125096
1981-01-09,0.37155104,0.5028689
1981-01-10,0.36347383,0.50148606
1981-01-11,0.36347383,0.49511227
1981-01-12,0.36347383,0.47917137
1981-01-13,0.36347383,0.47719586
1981-01-14,0.3796283,0.4691346
1981-01-15,0.38770548,0.44025055
1981-01-16,0.38770548,0.49306214
1981-01-17,0.40385985,0.4681696
1981-01-18,0.40385985,0.41655618
1981-01-19,0.40385985,0.4546724
1981-01-20,0.38770548,0.5669149
1981-01-21,0.32308787,0.3916716
1981-01-22,0.3150107,0.38038817
