date,S_snow,S_water,prcp,tmean,dayl,ET_mech,M_mech,Ps_mech,Pr_mech,Q_mech,q_obs
1980-10-01 00:00:00,0.0,1303.0042478479704,3.1,6.08,11.327991666666666,0.8672626344589662,1.1920928955078125e-07,0.0,3.1,0.020447727381611748,0.5509980741595841
1980-10-02 00:00:00,0.0,1305.345456793222,4.24,10.530000000000001,11.283633333333334,1.1531832677956613,1.1920928955078125e-07,0.0,4.24,0.021265260422632895,0.5607406727203627
1980-10-03 00:00:00,0.0,1310.0566342917382,8.02,11.834999999999999,11.231994444444444,1.250723528178161,1.1920928955078125e-07,0.0,8.02,0.023010770919610114,0.5585756508179673
1980-10-04 00:00:00,0.0,1320.5623479479318,15.27,7.38,11.135988888888889,0.9406846988287255,1.1920928955078125e-07,0.0,15.27,0.02743661057327182,0.6711567897425189
1980-10-05 00:00:00,0.0,1332.069881153742,8.48,4.8,11.135988888888889,0.8008879219887723,1.1920928955078125e-07,0.0,8.48,0.033267115573474386,0.8216258119589868
1980-10-06 00:00:00,0.0,1334.9621632953877,0.0,5.41,11.04,0.828534802661591,1.1920928955078125e-07,0.0,0.0,0.03491791487385529,0.8670912719092866
1980-10-07 00:00:00,0.0,1333.5005457046386,0.0,6.405,11.020927777777777,0.8821194770274915,1.1920928955078125e-07,0.0,0.0,0.034073690683182514,0.9114742209083886
1980-10-08 00:00:00,0.0,1333.6523641965491,2.1,7.675,10.943988888888889,0.9516843796610975,1.1920928955078125e-07,0.0,2.1,0.03416042190090627,0.9482795932491072
1980-10-09 00:00:00,1.8578138907627922e-17,1335.5957378248722,3.55,5.48,10.848194444444445,0.8183029329137753,9.289069453813961e-18,0.0,3.55,0.03529033336015836,0.963434746565874
1980-10-10 00:00:00,4.279024027913495e-16,1339.2128698768147,0.0,3.67,10.848,0.7273609443122898,2.1395120139567506e-16,0.0,0.0,0.037493859216575144,0.9504446151515026
1980-10-11 00:00:00,9.198319945389335e-16,1345.3457550066307,10.66,1.5299999999999998,10.752002777777777,0.626537923580243,4.599153930454245e-16,1.7752466163756253e-15,10.659999999999998,0.041548897191226564,0.9612697246634786
1980-10-12 00:00:00,8.873015078364052e-16,1355.0002610205113,12.3,5.555000000000001,10.752002777777777,0.826916073922685,4.4365075391820455e-16,0.0,12.3,0.04883921425537027,1.0825109511976112
1980-10-13 00:00:00,4.982047001461452e-16,1360.7881929214077,1.17,4.35,10.656002777777777,0.7597846727376857,2.491023500730732e-16,0.0,1.17,0.053809563351609316,1.1366364987574915
1980-10-14 00:00:00,2.61768682752297e-16,1360.5623040102043,0.26,1.725,10.60006388888889,0.6330427484220369,1.308843169118129e-16,0.0,0.26,0.05360641526280104,1.1474616082694675
1980-10-15 00:00:00,-9.464636605714833e-16,1359.946956684637,0.0,1.1800000000000002,10.560008333333332,0.6073064079151714,1.1920928955078125e-07,0.0,0.0,0.05305689842546493,1.1474616082694675
1980-10-16 00:00:00,-3.203096665116663e-15,1359.3176813887378,0.0,0.43500000000000005,10.466655555555555,0.5716143391603825,1.1920928955078125e-07,0.0,0.0,0.05250076895993872,1.1474616082694675
1980-10-17 00:00:00,-2.033624592242147e-15,1358.7346215523792,0.01,3.26,10.464002777777779,0.6924947198453251,1.1920928955078125e-07,0.0,0.01,0.05199068705813152,1.1366364987574915
1980-10-18 00:00:00,6.271040601395853e-17,1358.4766519116674,0.19,8.5,10.368,0.9686692919551456,3.135520300697927e-17,0.0,0.19,0.051766590107508635,1.1366364987574915
1980-10-19 00:00:00,2.0278054984277783e-15,1358.5374411857151,1.88,9.405000000000001,10.36676111111111,1.0264985962464972,1.0139027492138996e-15,0.0,1.88,0.05181931030423001,1.0933360607095872
1980-10-20 00:00:00,3.2959242275368506e-15,1358.877870861975,0.91,4.62,10.271999999999998,0.7446518258278492,1.6479621137684523e-15,0.0,0.91,0.05211554567436303,1.0630257540760544
